data,hora,local,temperatura,humidade,intensidadeVento,precAcumulada,descDirVento,radiacao,fmc,fmc_teorico_pratico,ffmc_pratico,isi_pratico,s_pratico,dsr_pratico,fwi_pratico,ffmc0,dmc0,dc0,ffmc_teorico_12h,fmc_teorico_12h,isi_teorico_12h,bui_12h,s_teorico_12h,dsr_teorico_12h,fwi_teorico_12h,hora_ref
2025-05-18,15,Mação,21.0,51.0,4.0,0.0,W,1967.5,8.84,13.9,91.96,6.93,7.96,1.07,7.96,86.69,8.85,21.18,86.69,14.46,3.27,8.83,3.17,0.21,3.17,15.0
2025-05-18,16,Mação,18.9,57.0,6.3,0.4,W,711.9,28.95,14.41,74.67,1.03,0.66,0.01,0.66,,,,,,,,,,,
2025-05-18,17,Mação,15.9,85.0,3.4,0.1,NW,956.2,22.65,18.95,79.64,1.3,0.79,0.02,0.79,,,,,,,,,,,
2025-05-18,18,Mação,16.6,75.0,3.4,0.0,NW,1117.0,19.82,16.68,82.0,1.69,1.21,0.04,1.21,,,,,,,,,,,
2025-05-18,19,Mação,16.6,74.0,3.0,0.0,W,551.4,18.88,16.49,82.8,1.83,1.49,0.05,1.49,,,,,,,,,,,
2025-05-18,20,Mação,15.3,80.0,2.6,0.0,W,54.8,26.88,17.7,76.26,0.94,0.57,0.01,0.57,,,,,,,,,,,
2025-05-18,21,Mação,14.2,85.0,2.9,0.0,NW,0.0,27.03,18.98,76.14,0.95,0.57,0.01,0.57,,,,,,,,,,,
2025-05-18,22,Mação,13.5,84.0,2.7,0.0,NW,0.0,26.59,18.72,76.49,0.96,0.58,0.01,0.58,,,,,,,,,,,
2025-05-18,23,Mação,13.1,88.0,2.3,0.0,W,0.0,26.8,19.82,76.32,0.93,0.56,0.01,0.56,,,,,,,,,,,
2025-05-19,0,Mação,12.8,91.0,2.7,0.0,W,0.0,27.21,21.15,76.0,0.93,0.61,0.01,0.61,,,,,,,,,,,
2025-05-19,1,Mação,12.7,93.0,2.3,0.0,W,0.0,27.75,21.93,75.59,0.89,0.58,0.01,0.58,,,,,,,,,,,
2025-05-19,2,Mação,12.5,95.0,2.0,0.0,W,0.0,28.36,22.82,75.12,0.85,0.56,0.01,0.56,,,,,,,,,,,
2025-05-19,3,Mação,12.4,95.0,2.7,0.0,W,0.0,29.12,22.94,74.54,0.86,0.56,0.01,0.56,,,,,,,,,,,
2025-05-19,4,Mação,12.1,97.0,1.2,0.0,W,0.0,29.45,23.7,74.29,0.78,0.51,0.01,0.51,,,,,,,,,,,
2025-05-19,5,Mação,11.7,100.0,1.0,0.0,S,0.0,29.58,25.55,74.19,0.77,0.5,0.01,0.5,,,,,,,,,,,
2025-05-19,6,Mação,11.6,100.0,1.2,0.0,W,40.1,30.14,25.62,73.77,0.76,0.5,0.01,0.5,,,,,,,,,,,
2025-05-19,7,Mação,12.7,98.0,1.8,0.0,NW,569.4,28.7,24.52,74.86,0.83,0.54,0.01,0.54,,,,,,,,,,,
2025-05-19,8,Mação,13.9,87.0,2.0,0.0,W,1128.7,26.85,19.69,76.29,0.92,0.6,0.01,0.6,,,,,,,,,,,
2025-05-19,9,Mação,15.3,77.0,2.5,0.0,W,1514.0,20.4,17.33,81.51,1.53,1.14,0.03,1.14,,,,,,,,,,,
2025-05-19,10,Mação,16.4,68.0,4.0,0.0,NW,1651.7,16.89,15.79,84.53,2.42,2.74,0.16,2.74,,,,,,,,,,,
2025-05-19,11,Mação,17.3,66.0,3.5,0.0,NW,2212.9,15.61,15.4,85.66,2.75,3.25,0.22,3.25,,,,,,,,,,,
2025-05-19,12,Mação,17.3,66.0,3.3,0.0,W,2153.3,14.0,15.4,87.11,3.35,4.06,0.32,4.06,86.04,10.5,26.7,86.04,15.18,2.88,10.59,3.06,0.2,3.06,12.0
2025-05-19,13,Mação,19.1,58.0,4.6,0.0,NW,3067.7,12.81,15.13,88.2,4.17,5.21,0.51,5.21,,,,,,,,,,,
2025-05-19,14,Mação,19.4,58.0,3.5,0.0,NW,2079.5,11.82,15.13,89.12,4.51,5.63,0.58,5.63,,,,,,,,,,,
2025-05-19,15,Mação,19.5,58.0,4.1,0.0,NW,1427.1,11.23,15.13,89.67,5.03,6.26,0.7,6.26,,,,,,,,,,,
2025-05-19,16,Mação,19.1,61.0,5.0,0.0,NW,1709.1,10.3,15.13,90.55,5.97,7.3,0.92,7.3,,,,,,,,,,,
2025-05-19,17,Mação,19.3,61.0,3.6,0.0,NW,1131.3,7.133,15.13,93.63,8.59,10.02,1.61,10.02,,,,,,,,,,,
2025-05-19,18,Mação,18.7,64.0,4.8,0.0,NW,661.0,6.8,15.13,93.96,9.56,10.89,1.86,10.89,,,,,,,,,,,
2025-05-19,19,Mação,18.2,66.0,5.1,0.0,NW,418.6,2.827,15.29,98.03,16.82,16.88,4.05,16.88,,,,,,,,,,,
2025-05-19,20,Mação,16.7,71.0,3.7,0.0,NW,79.3,10.63,16.21,90.24,5.35,6.47,0.74,6.47,,,,,,,,,,,
2025-05-19,21,Mação,15.5,76.0,3.9,0.0,NW,0.0,11.54,17.18,89.38,4.78,5.75,0.6,5.75,,,,,,,,,,,
2025-05-19,22,Mação,15.0,76.0,2.8,0.0,N,0.0,11.97,17.18,88.98,4.26,5.13,0.49,5.13,,,,,,,,,,,
2025-05-19,23,Mação,14.4,78.0,1.8,0.0,NW,0.0,12.64,17.54,88.36,3.71,4.42,0.38,4.42,,,,,,,,,,,
2025-05-20,0,Mação,13.8,79.0,0.0,0.0,---,0.0,13.17,17.0,87.87,3.16,4.23,0.35,4.23,,,,,,,,,,,
2025-05-20,1,Mação,12.4,85.0,0.8,0.0,N,0.0,13.68,18.61,87.4,3.07,4.08,0.33,4.08,,,,,,,,,,,
